english,translate
across from,напротив
to answer,отвечать
argument,ссора
around the corner from, за углом от
as result,как результат
baker,пекарь
to bark,лаять
between,между
to call back,перезвонить
carpet,ковер
chair,стул
church,церковь
clock,часы
convenient,удобный
corner,угол
country,страна
custodian,"сторож, разнорабочий"
drug store,аптека
East,восток
employee,наёмный работник
engineer,инженер
even,даже
experienced,опытный
fine,"отличный, превосходный"
fire station,пожарная станция
flat,"плоский, равнинный"
flu,грипп
gas station,заправочная станция
grocery store,продуктовый магазин
healthy,здоровый
honest,честный
insurance,страховка
intelligent,"умный, сообразительный"
journalist,журналист
kid,ребенок
laundromat,прачечная
to make,"делать, изготовить"
mall,комплекс магазинов
mean,"неприятный, злобный"
museum,музей
neighborhood,соседняя местность
near,"рядом, неподалеку"
next to,рядом с
noise,шум
North,север
to operate,"управлять, оперировать"
on strike,на забастовке
out,"не на месте, не на работе"
patient,терпеливый
parking lot,стоянка для машин
pleasant,приятный
professional,профессиональный
radiator,"обогреватель, батарея"
receptionist,секретарь в приемный
repairman,ремонтник
to run,"бежать, проходить (о улице)"
salesperson,продавец
sidewalk,тротуар
skillful,"искустный, умелый"
slow,медленный
South,юг
strike,забастовка
successful,"успешный, процветающий"
tailor,портной
talented,талантливый
teenager,подросток
terrible,ужасный
though,хотя
towel,полотенце
train station,вокзал
unfortunately,к сожалению
upset,расстроенный
to vacuum,пылесосить
violin,скрипка
West,запад
wet,мокрый
zoo,зоопарк
