english,translate
a coupe of,пара (чего-либо)
all the other,все остальные
to arrive,прибывать
to attend,посещать
because,потому что
best friend,лучший друг
break,перерыв
to brush,"расчесывать, чистить"
to catch,"словить, поймать"
to come,"возвращаться, придти назад"
date,свидание
day off,выходной день
department store,универмаг
to do the dishes,мыть посуду
early,"рано, ранний"
even though,хотя
every,каждый
every other day,через день
to fail,"провалиться, потерпеть неудачу"
to get,"попасть, добраться, получить"
to get angry,разозлиться
to get off,сходить (с транспорта)
to get a haircut,подстричься
to get off,выйти (из транспорта)
to get up,подниматься с постели
gift,подарок
girlfriend,"любимая девушка, подруга"
golf,игра в гольф
to graduate,закончить учебное заведение
to go camping,ходить в поход с палатками
to go for a drive,покататься на машине
to go for a walk,пойти на прогулку
to go on strike,идти на забастовку
to go out of,"выходить, выезжать (из)"
haircut,стрижка
half,половина
to have a date,ходить на свидание
holiday,праздник
however,однако
late,"поздно, опоздавший"
to leave,"уходить, оставлять, покидать"
magazine,журнал
to make a phone call,сделать телефонный звонок
medicine,лекарство
to miss,пропускать
on time,вовремя
only,только
peanut butter,ореховое масло
policeman,полицейский
poor,бедный
project,проект
quick,быстрый
really,"правда, действительно"
records,пластинки с записью
to relax,расслабиться
repair shop,мастерская по ремонту
right now,прямо сейчас
to ring the bell,позвонить в звонок
to rush out,"выбежать, выскочить"
to save,"сохранить, накопить"
seashore,морское побережье
sleepy,сонный
spaghetti,спагетти
strike,забастовка
subway,метро
supervisor,начальник
to take a rest,отдыхать
to take a break,сделать перерыв
terrible,ужасный
the other day,на днях (в прошлом)
there,"там, туда"
town,небольшой городок
to travel,путешествовать
to try,стараться
vitamin,витамин
to wake up,"разбудить, проснуться"
to work out,тренироваться (физически)
wrong,"неправильный, неверный"
