english,translate
a few,несколько
a short time ago,совсем недавно
after that,после того
again,"опять, снова"
an hour and a half,полтора часа
apple pie,яблочный пирог
appointment,"деловая встреча, визит"
to arrive,"прибывать, приезжать"
to ask for,попросить
aunt,тётя
backache,боль в спине
bright,якрий
to bring,принести
broken,сломанный
to brush,чистить щеткой
carpet,ковер
cereal,сухой завтрак
cheese,сыр
cold,простуда
couple,пара
crackers,крекеры
to cry,плакать
to dance,танцевать
dessert,десерт
driver's licence,водительские права
to dust,вытирать пыль
earache,боль в ухе
to eat,кушать
to enjoy,получать удовольствие
factory,фабрика
to feel,чуствовать
fence,забор
fine,"прекрасно, прекрасный"
to finish,закончить
first,"сначала, сперва"
front steps,ступеньки перед главным входом
furniture,мебель
garden,сад
to get,"получить, заработать, принести"
great,"замечательно, замечательный"
guest,гость
half,половина
half an hour,полчаса
headache,головная боль
how about,как насчет...?
I'm glad to heart that,Я рад это слышать
I'm sorry to heart that,Сожалею об этом слышать
in fact,кстати
inside,"внутри, в помещении"
inside and out,внутри и снаружи
to invite,приглашать
juice,сок
to look,выглядеть
nobody,никто
noon,полдень
not so good,не очень хорошо
math,математика
midnight,полночь
outside,"снаружи, на дворе, на улице"
to prepare for,готовиться к
quarter,четверть
to rest,отдыхать
seconds,добавка
to serve,"накрывать (на стол), обслуживать"
to shave,брить(-ся)
to show,показывать
slide,слайд
so-so,так себе
sore throat,"боль, воспаление в горле"
spaghetti,спагетти
spring,весна
to stay,оставаться
stereo,магнитафон
stomachache,"боль в животе, желудке"
tea,чай
terrible,ужасный
the day before yesterday,позавчера
the other day,на днях (в прошлом)
the week before last,позапрошлая неделя
then,потом
toothache,зубная боль
trip,поездка
to turn on,включить
to vacuum,пылесосить
very much,"очень сильно, очень много"
to visit,"посещать, навещать"
to wait for,"ждать (что-либо, кого-либо)"
to wear,"носить, одевать"
weather,погода
what's the matter?,"что произошло, в чем дело?"
wine,вино
