english,translate
afraid,"боящийся, опасающийся"
alone,"сам, один"
at the moment,в данный момент
backpack,рюкзак
ballgame,игра в мяч
before,"до того как, раньше, до"
bell,звонок
to be out on a date,"быть, ходить на свидание"
before,"до, перед тем как"
to belong to,принадлежать
candies,конфеты
to come by,приходить
to come over,приходить
competition,соревнование
cookie,"печенье, пряник"
to decide,"решать, принимать решение"
doll,кукла
doorbell,дверной звонок
to drive through,ехать через
during,в течение
energetic,энергичный
even,даже
fire,"костер, пожар, огонь"
fish,рыба
floor wax,"натирание для пола, вакса"
full,сытый
glasses,очки
to invite,пригласить
to knock on,сткчать по
to learn,"выучить, узнать"
to lose,терять
lottery,лотерея
once in a while,"иногда, нечасто"
nearby,неподалеку
parents,родители
present,подарок
race,"бега, скачки, гонки"
to ring,звонить
ruler,линейка
scary,страшный
several,несколько
shampoo,шампунь
to stop by,"остановиться (у чего-, кого-либо)"
tape,кассета
textbook,учебник
the week before last,позапрошлая неделя
time,"раз, время"
tiny,крохотный
tools,инструменты
toothpaste,зубная паста
uncomfortable,неудобный
unfortunately,к сожалению
watch,наручные часы
window cleaner,средство для чистки окон
