english,translate
apartment,квартира
baseball,бейсбол
beach,пляж
beautiful,красивый
bicycle,велосипед
bird,птица
breakfast,завтрак
to brush,чистить (щеткой)
cafeteria,"кафе, столовая"
cards,карты
champagne,шампанское
chapter,"глава, раздел"
class room,"класс, классная комната"
to clean,"чиситить, убирать"
clinic,клиника
clothes,одежда
to dance,танцевать
difficult,"сложный, тяжелый"
dinner,ужин
to draw,"рисовать, чертить"
easy,легкий
exercise,упражнение
fat,"толстый, жирный"
to feed,кормить
to fix,"чинить, ремонтировать"
guitar,гитара
hospital,"больница, госпиталь"
laundromat,прачечная
lemonade,лимонад
library,библиотека
to listen,слушать
lunch,ланч
mathematics,математика
night club,ночной клуб
to paint,красить
picture,"картинка, фотография"
to plant,сажать
poor,бедный
post office,почта
report,отчет
rich,богатый
to shine,"светить, сиять"
soccer,футбол
sun,солнце
sure,уверенный
tea,чай
teeth,зубы
to type,печатать
to wash,"мыть, стирать, умывать"
to watch,"смотреть на сцене, на экране"
