english,translate
aggressive,агрессивный
all the other,все остальные
as you can see,как видишь
backpack,рюкзак
bench,скамейка
building,здание
to carry,нести
to cry,плакать
dishes,посуда
dull,"тупой, неострый"
to enjoy,получать удовольствие
exercise,упражнение
few,несколько
fire place,камин
for a few days,на несколько дней
generous,щедрый
to have a terrible time,ужасно проводить время
to have a dinner,ужинать
in fact,"в действительности, на самом деле"
in front of,"перед чем либо, впереди"
it's raining cats and dogs,идет сильный дождь
to hold,держать
to look out the window,смотреть из окна
mall,торговый центр
of course,конечно
to park,парковать машину
parking lot,стоянка для машин
to practice,"практиковать, иметь практику"
puzzle,головоломка
reliable,надежный
repairman,"ремонтник, мастер по ремонту"
to ride,ехать
right now,"прямо сейчас, в данный момент"
road,дорога
rough,"грубый, неровный"
serious,серьезный
sharp,острый
shy,стеснительный
Siamese,сиамский (порода)
sink,умывальник
smooth,"ровный, гладкий"
sneakers,"спортивные туфли, кроссовки"
to solve,решать
soccer,европейский футбол
sofa,диван
stomach,желудок
t-shirt,футболка
to talk,разговаривать с
to tell the truth,по правде говоря
terrible,ужасный
to use,"использовать, пользоваться"
to watch,наблюдать
to wear,носить
wedding,свадьба
whose,чей
