english,translate
boat,лодка
boarding pass,посадочный талон
bottle,бутылка
box,коробка
bread,хлеб
bunch,"горсть, связка, пучек"
butcher shop,лавка мясника
butter,масло
cake,"пирог, торт"
can,жестяная банка
to care,заботиться
carrot,морковка
celery,сельдерей
cent,цент
cereal,сухой завтрак
change,"сдача, мелочь"
cheese,сыр
chicken,курица
chocolate,шоколад
chocolate chip cookies, печенье с кусочками шоколада
clinic,поликлиника
cocoa,какао
coin,монета
colored,цветной
comb,расческа
to cost,стоить
crackers,"печенье, крекеры"
delicious,"вкусный, восхитительный"
dozen,дюжина
egg,яйцо
expensive,дорогой (о цене)
film,фотопленка
flour,мука
fresh,свежий
french fries,жареный картофель
garlic,чеснок
to get,добираться
grapes,виноград
groceries,продукты
hamburger,гамбургер
head,"головка (салата, капусты)"
high school,старшие классы средней школы
ice cream,мороженое
jam,"джем, варенье"
jar,стеклянная банка
jelly,желе
just,только что
lemon,лимон
lettuce,листовой салат
loaf,буханка (хлеба)
magazine,журнал
matches,спички
mayonnaise,майонез
meat,мясо
milk,молоко
necklace,"бусы, ожерелье"
no wonder,не удивительно
omelet,омлет
on the left,слева
on the right,справа
onions,лук
only,только
orange,апельсин
to pay,платить
pear,груша
pepper,перец
perfume,духи
pet shop,магазин домашних животных
pizza,пицца
postcard,почтовая открытка
potatoes,картофель
pound,фунт
quart,"четверть галлона, около литра"
rice,рис
right,прав
ruler,линейка
salt,соль
salad,салат
shampoo,шампунь
shoe store,обувной магазин
shopping list,список необходимых покупок
soda,сладкая газировка
soup,суп
to spend,тратить
stick,палка
store,магазин
sugar,сахар
to taste,иметь вкус
tea,чай
terrible,ужасный
thousand,тысяча
tomato,помидор
tool,инструмент
vanilla,ванилин
vegetable,овощ
to walk along,идти вдоль
to walk down,"идти вниз, спускаться"
to walk up,"идти вверх, подниматься"
to walk out,выйти
wallet,кошелек
whole wheat,мука грубого помола
wine,вино
with,с
yogurt,йогурт
