english,translate
absent,отсутствующий
angry,злой
attic,чердак
basement,подвал
bathroom,ванная комната
bedroom,спальня
boots,"сапоги, ботинки"
bored,скучающий
boring,скучный
bus,автобус
busy,занятый
careful,"осторожный, аккуратный"
careless,"неосторожный, неаккуратный"
chair,стул
cheap,дешевый
cup,чашка
dentist,зубной врач
dining room,столовая комната
early,"рано, ранний"
egg,яйцо
empty,пустой
even,даже
everybody,"все, каждый"
except,кроме
expensive,дорогой
fork,вилка
full,"полный, наполненный"
garage,гараж
glasses,стаканы
handsome,"красивый(о мужчинах)"
heavy,тяжелый
here,"здесь, вот"
hungry,голодный
interesting,интересный
iron,утюг
key,ключ
kitchen,кухня
knife,нож
lemon,лимон
light,легкий
living room,гостинная
late,"поздно, поздний"
loud,громкий
married,"женатый, замужем"
monkey,обезьяна
neighbor,сосед
noisy,шумный
orange,апельсин
over there,"там, вон там"
plate,тарелка
purse,"женская сумочка"
quiet,"тихий, спокойный"
rainy,дождливый
rested,отдохнувший
rough,"неровный, шероховатый"
sad,печальный
shame,"стыд, досада"
shelf,полка
short,"низкий, короткий"
sick,больной
single,"холостой, не замужем"
smooth,"ровный, гладкий"
Social Security,"социальное обеспечение"
spoon,ложка
strong,сильный
suitcase,чемодан
sunny,солнечный
tall,высокий
taxi,такси
thick,"толстый(о неодушевленных предметах)"
thin,тонкий
thirsty,"испытывающий жажду"
tired,уставший
train,поезд
truck,грузовик
ugly,"некрасивый, безобразный"
umbrella,зонтик
vase,ваза
watch,"наручные часы"
weak,слабый
yard,двор
young,молодой
zoo,зоопарк
