english,translate
actress,актриса
all,все
all the time,"все время, постоянно"
angry,"злой, рассерженный"
around,вокруг
aunt,тетя
to bark,лаять
bathtub,ванна
Biology,биология
to bite,кусать
to blush,краснеть
bored,скучающий
both,"оба, обе"
boyfriend,"любимый парень, мужчина"
bridge,мост
to bring,принести
candlelight,свет от свечи
candy,"конфета, конфеты"
chef,шеф-повар
close,близкий
conversation,"разговор, беседа"
cousin,"двоюродный брат, сестра"
different,"другой, различный, разный"
embarrassed,смущенный
every other day,каждый второй день (через день)
experiment,экспиримент
famous,знаменитый
game show,игровое шоу
gas company,газовая компания
to get together,собраться вместе
to go out,выйти (поесть в ресторане)
ever,когда-нибудь
hardly ever,почти никогда
to hitchhike,ловить машину
I'm sorry to heart that,Сожалею об этом слышать
jet,реактивный самолет
lab,лаборатория
to look,выглядеть
to look like,быть похожим
lucky,"счастливый, удачливый"
magazine,журнал
many,много
moon,луна
movie star,киноздезда
nail,ноготь
nervous,нервный
once,"однажды, один раз"
to perspire,потеть
prime minister,премьер министер
rarely,редко
reporter,"репортер, корреспондент"
to say 'hello',"приветствовать, здороваться"
scientist,ученый
to smile,улыбаться
to shiver,дрожать от холода
to shout,кричать
That's strange,Как странно
thirsty,испытывающий жажду
to travel around,"путешествовать, ездить по"
twice,дважды
unfortunately,к сожалению
to walk back and forth,ходить взад и вперед
wheat,"пшеница, пшеничный"
word,"земля, мир"
to yawn,зевать
