english,translate
accident,"авария, проишествие"
according to,"в соответствии, согласно"
bad cold,сильная простуда
to be late,опаздывать
beach,пляж
to become,становиться
to begin,начинать
to believe in,верить в
birthday,день рожденья
bridge,мост
broken,неисправный
to burn down,сгореть
to burn up,сгореть
busy,занятый
cake,"торт, пирог"
curious,любопытный
depressed,быть в дипрессии
to do the laundry,стирать одежду
earth,земля
to fall in love,влюбиться
famous,знаменитый
to fire,"выгнать, снять с работы"
to fix,"чинить, ремонтировать"
forecast,прогноз (погоды)
fortune,судьба
fortune teller,гадалка
game show,игровое шоу
to get a haircut,постричься
to get married,"жениться, выйти замуж"
to go to bed,ложиться спать
to go to the movies,пойти в кино
to go skiing,кататься на лыжах
grammar,грамматика
guest,гость
to happen,случиться
hardworking,усердный
hotel,"гостиница, отель"
to hurry,спешить
interview,интервью
to invite,приглашать
jet,реактивный самолет
to leave,"оставлять, покидать, уходить"
to look at,смотреть на
to look for,искать
to mean,иметь в виду
moon,луна
more,больше
to move,переезжать
of course,конечно
over there,вон там
to pack,паковать
pants,штаны
pizza,пицца
place,место
plumber,сантехник
to print,печатать
professional,профессиональный
to put on,одевать
really,"действительно, правда"
right away,сразу же
salary,зарплата
to say,"сказать, говорить"
to sew,шить
to shave,бриться
to skate,кататься на коньках
to start,начинать
to stay,"оставаться, остановиться"
suit,костюм
sun,солнце
to take a trip,совершить поездку
too,"очень, слишком"
to try,"стараться, пытаться"
somewhere,где-то
van,фургон
vase,ваза
very,очень
wall,стена
weather,погода
to win,выиграть
with,с
woman,женщина
you are right,вы правы
