english,translate
to act,играть на сцене
apple pie,яблочный пирог
because,потому что
but,но
chain,"цепь, цепочка"
checkers,шашки
chess,шахматы
to climb,"взбираться, карабкаться вверх"
clothesline,веревка для вывешивания белья
comfortable,удобный
cotton,"хлопок, хлопковый"
cuff links,запонки
difficult,"трудный, тяжелый"
dirty,грязный
dry cleaner's,химчистка
fancy,"украшенный, нарядный"
foreign,иностранный
to get dress,одеваться
jacket,"куртка, жакет"
key chain,брелок
leather,кожанный
to look for,искать
to make mistakes,допускать ошибки
to miss,пропускать
pair,пара
pajamas,пижама
pin,"брошь, заколка"
plain,"простой, обычный"
polka dot,узор в горошек
polyester,"полиэфир, синтетика"
popular,популярный
purple,фиолетовый
rested,отдохнувший
ripped,разорванный
rubber,резиновый
to skate,кататься на коньках
to ski,кататься на лыжах
sour,кислый
striped,узор в полоску
sweet,сладкий
tie,галстук
torn,порванный
truck,грузовик
uncomfortable,неудобный
upset,расстроенный
to use,"использовать, пользоваться"
violin,скрипка
vitamin,витамин
wallet,кошелек
what kind of,какого вида? сорта? типа?
when,когда
why,почему
wool,"шерсть, шерстяной"
word,слово
worn out,"износившийся, старый, изможденный"
